date,London,Liverpool,Manchester,Edinburgh,Brighton
2023-06-25,62,8,14,6,2
2023-07-02,68,8,14,7,2
2023-07-09,63,8,14,7,3
2023-07-16,57,7,14,7,4
2023-07-23,59,9,20,7,4
2023-07-30,64,11,20,7,3
2023-08-06,60,8,17,8,5
2023-08-13,57,12,20,7,6
2023-08-20,56,12,14,8,6
2023-08-27,59,16,15,7,4
2023-09-03,55,9,15,7,4
2023-09-10,54,8,13,7,3
2023-09-17,54,10,28,7,7
2023-09-24,55,11,18,6,7
2023-10-01,49,9,19,6,4
2023-10-08,49,8,14,6,3
2023-10-15,50,7,14,7,3
2023-10-22,51,11,17,7,4
2023-10-29,49,11,15,6,3
2023-11-05,52,29,21,7,3
2023-11-12,54,10,14,6,3
2023-11-19,52,8,13,7,2
2023-11-26,51,9,18,6,3
2023-12-03,48,60,14,6,4
2023-12-10,48,36,20,6,4
2023-12-17,49,10,21,6,9
2023-12-24,53,10,15,7,3
2023-12-31,57,11,12,13,3
2024-01-07,55,12,13,7,2
2024-01-14,56,9,15,7,2
2024-01-21,56,20,16,7,3
2024-01-28,53,40,14,8,6
2024-02-04,52,10,13,6,6
2024-02-11,53,8,18,6,3
2024-02-18,52,13,14,7,4
2024-02-25,54,17,15,7,3
2024-03-03,53,18,17,7,75
2024-03-10,50,15,15,6,22
2024-03-17,53,11,15,6,3
2024-03-24,53,9,14,8,3
2024-03-31,57,11,15,8,4
2024-04-07,50,11,35,7,3
2024-04-14,55,61,33,7,2
2024-04-21,57,10,17,7,3
2024-04-28,54,8,15,8,3
2024-05-05,56,12,17,7,2
2024-05-12,51,10,15,7,3
2024-05-19,81,12,18,7,3
2024-05-26,100,8,16,8,2
2024-06-02,82,7,13,7,2
2024-06-09,78,6,15,9,2
2024-06-16,80,5,13,7,2
2024-06-23,72,5,16,6,2
